"id","family","rust_path","kind","source","line","classification","go_mapping","evidence","rationale"
"generated/src_binding_release_x86_64-pc-windows-msvc.rs:13:struct:v8::binding::cppgc_NameProvider__bindgen_vtable","generated/src_binding_release_x86_64-pc-windows-msvc.rs","v8::binding::cppgc_NameProvider__bindgen_vtable","struct","generated/src_binding_release_x86_64-pc-windows-msvc.rs","13","unsafe","No raw Go equivalent, safe higher-level behavior is exposed where applicable.","API_AUDIT.md#classification-boundary","Generated raw ABI layout, not a public Go ownership surface"
"generated/src_binding_release_x86_64-pc-windows-msvc.rs:17:struct:v8::binding::cppgc_NameProvider","generated/src_binding_release_x86_64-pc-windows-msvc.rs","v8::binding::cppgc_NameProvider","struct","generated/src_binding_release_x86_64-pc-windows-msvc.rs","17","unsafe","No raw Go equivalent, safe higher-level behavior is exposed where applicable.","API_AUDIT.md#classification-boundary","Generated raw ABI layout, not a public Go ownership surface"
"generated/src_binding_release_x86_64-pc-windows-msvc.rs:18:struct_field:v8::cppgc_NameProvider::vtable_","generated/src_binding_release_x86_64-pc-windows-msvc.rs","v8::cppgc_NameProvider::vtable_","struct_field","generated/src_binding_release_x86_64-pc-windows-msvc.rs","18","unsafe","No raw Go equivalent, safe higher-level behavior is exposed where applicable.","API_AUDIT.md#classification-boundary","Generated raw ABI layout, not a public Go ownership surface"
"generated/src_binding_release_x86_64-pc-windows-msvc.rs:75:struct:v8::binding::v8_FastOneByteString","generated/src_binding_release_x86_64-pc-windows-msvc.rs","v8::binding::v8_FastOneByteString","struct","generated/src_binding_release_x86_64-pc-windows-msvc.rs","75","unsafe","No raw Go equivalent, safe higher-level behavior is exposed where applicable.","API_AUDIT.md#classification-boundary","Generated raw ABI layout, not a public Go ownership surface"
"generated/src_binding_release_x86_64-pc-windows-msvc.rs:76:struct_field:v8::v8_FastOneByteString::data","generated/src_binding_release_x86_64-pc-windows-msvc.rs","v8::v8_FastOneByteString::data","struct_field","generated/src_binding_release_x86_64-pc-windows-msvc.rs","76","unsafe","No raw Go equivalent, safe higher-level behavior is exposed where applicable.","API_AUDIT.md#classification-boundary","Generated raw ABI layout, not a public Go ownership surface"
"generated/src_binding_release_x86_64-pc-windows-msvc.rs:77:struct_field:v8::v8_FastOneByteString::length","generated/src_binding_release_x86_64-pc-windows-msvc.rs","v8::v8_FastOneByteString::length","struct_field","generated/src_binding_release_x86_64-pc-windows-msvc.rs","77","unsafe","No raw Go equivalent, safe higher-level behavior is exposed where applicable.","API_AUDIT.md#classification-boundary","Generated raw ABI layout, not a public Go ownership surface"
"generated/src_binding_release_x86_64-pc-windows-msvc.rs:209:assoc_const:v8::v8_GCType::kGCTypeScavenge","generated/src_binding_release_x86_64-pc-windows-msvc.rs","v8::v8_GCType::kGCTypeScavenge","assoc_const","generated/src_binding_release_x86_64-pc-windows-msvc.rs","209","matched","runtime_values.go; object_ops.go","conformance/runtime-values/conformance_test.go; object_ops_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"generated/src_binding_release_x86_64-pc-windows-msvc.rs:210:assoc_const:v8::v8_GCType::kGCTypeMinorMarkSweep","generated/src_binding_release_x86_64-pc-windows-msvc.rs","v8::v8_GCType::kGCTypeMinorMarkSweep","assoc_const","generated/src_binding_release_x86_64-pc-windows-msvc.rs","210","matched","runtime_values.go; object_ops.go","conformance/runtime-values/conformance_test.go; object_ops_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"generated/src_binding_release_x86_64-pc-windows-msvc.rs:211:assoc_const:v8::v8_GCType::kGCTypeMarkSweepCompact","generated/src_binding_release_x86_64-pc-windows-msvc.rs","v8::v8_GCType::kGCTypeMarkSweepCompact","assoc_const","generated/src_binding_release_x86_64-pc-windows-msvc.rs","211","matched","runtime_values.go; object_ops.go","conformance/runtime-values/conformance_test.go; object_ops_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"generated/src_binding_release_x86_64-pc-windows-msvc.rs:212:assoc_const:v8::v8_GCType::kGCTypeIncrementalMarking","generated/src_binding_release_x86_64-pc-windows-msvc.rs","v8::v8_GCType::kGCTypeIncrementalMarking","assoc_const","generated/src_binding_release_x86_64-pc-windows-msvc.rs","212","matched","runtime_values.go; object_ops.go","conformance/runtime-values/conformance_test.go; object_ops_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
